person_key,event_name,gender,times,dates
45166,100 FL (SCY),M,"['56.52', '53.82', '51.95', '49.11']","['20130302', '20140306', '20150306', '20170310']"
45166,100 FR (SCY),M,"['52.87', '50.57', '48.34', '46.46']","['20130302', '20140208', '20141109', '20170121']"
45166,200 FR (SCY),M,"['112.94', '107.72', '102.86', '100.34']","['20130216', '20140207', '20141221', '20161119']"
45166,200 IM (SCY),M,"['130.57', '123.03', '118.89', '111.28']","['20130208', '20140110', '20141019', '20170310']"
45166,500 FR (SCY),M,"['297.63', '285.88', '273.78', '267.69']","['20130216', '20140306', '20150215', '20170223']"
45166,200 FL (SCY),M,"['120.72', '114.8', '111.08', '109.5']","['20130216', '20140306', '20150215', '20170225']"
45166,1000 FR (SCY),M,"['608.7', '585.65', '576.02', '570.51']","['20130216', '20140215', '20141222', '20170113']"
45166,400 IM (SCY),M,"['270.73', '257.33', '248.63', '239.2']","['20130118', '20140207', '20150214', '20170224']"
47177,50 FR (SCY),F,"['26.24', '25.48', '25.09', '25.01', '26.24', '26.32', '25.09', '25.01', '26.09', '26.32', '25.09', '25.01', '26.09', '25.48', '25.09', '25.01']","['20130309', '20140220', '20150327', '20170217', '20130309', '20141101', '20150327', '20170217', '20131107', '20141101', '20150327', '20170217', '20131107', '20140220', '20150327', '20170217']"
47177,100 FR (SCY),F,"['58.23', '56.06', '55.98', '54.81']","['20130221', '20140314', '20150216', '20170219']"
47177,100 BK (SCY),F,"['61.24', '61.14', '60.73', '59.9', '62.44', '61.14', '60.73', '59.9']","['20131107', '20140314', '20150215', '20170218', '20130216', '20140314', '20150215', '20170218']"
51674,100 BR (SCY),F,"['69.28', '65.38', '64.86', '62.14']","['20150320', '20160116', '20161209', '20190215']"
51674,100 FR (SCY),F,"['57.61', '56.97', '55.57', '53.29']","['20150306', '20151106', '20170219', '20190111']"
51674,200 BR (SCY),F,"['148.27', '143.12', '142.23', '135.27']","['20150321', '20160214', '20170317', '20181201']"
51674,50 FR (SCY),F,"['25.93', '26.05', '24.93', '23.5']","['20150306', '20160115', '20170218', '20190320']"
51874,100 BK (SCY),F,"['63.79', '59.58', '61.27', '56.16']","['20130112', '20140131', '20150131', '20161202']"
