person_key,event_name,gender,time1,date_key1,time2,date_key2,time3,date_key3,time4,date_key4
45166,400 IM (SCY),M,270.73,20130118,257.33,20140207,248.63,20150214,239.2,20170224
47177,50 FR (SCY),F,26.24,20130309,25.48,20140220,25.09,20150327,25.01,20170217
47177,50 FR (SCY),F,26.24,20130309,26.32,20141101,25.09,20150327,25.01,20170217
47177,100 FR (SCY),F,58.23,20130221,56.06,20140314,55.98,20150216,54.81,20170219
47177,50 FR (SCY),F,26.09,20131107,26.32,20141101,25.09,20150327,25.01,20170217
47177,100 BK (SCY),F,61.24,20131107,61.14,20140314,60.73,20150215,59.9,20170218
47177,50 FR (SCY),F,26.09,20131107,25.48,20140220,25.09,20150327,25.01,20170217
47177,100 BK (SCY),F,62.44,20130216,61.14,20140314,60.73,20150215,59.9,20170218
51674,100 BR (SCY),F,69.28,20150320,65.38,20160116,64.86,20161209,62.14,20190215
51674,100 FR (SCY),F,57.61,20150306,56.97,20151106,55.57,20170219,53.29,20190111
51674,200 BR (SCY),F,148.27,20150321,143.12,20160214,142.23,20170317,135.27,20181201
51674,50 FR (SCY),F,25.93,20150306,26.05,20160115,24.93,20170218,23.5,20190320
51874,100 BK (SCY),F,63.79,20130112,59.58,20140131,61.27,20150131,56.16,20161202
51874,200 IM (SCY),F,128.49,20121109,126.3,20131122,126.02,20141114,122.68,20170223
51874,200 BR (SCY),F,148.34,20130201,144.6,20131122,142.12,20141122,148.11,20161022
51874,100 BR (SCY),F,66.51,20121109,66.59,20131115,65.97,20141114,69.48,20161022
51874,400 IM (SCY),F,277.58,20130201,275.88,20140131,275.02,20141122,260.68,20170224
52125,200 IM (SCY),M,125.26,20140313,124.24,20150301,121.41,20160218,120,20180216
54624,50 FR (SCY),F,26.16,20121207,26.04,20140117,26.22,20150111,25.15,20161203
54624,100 FR (SCY),F,55.97,20121207,55.84,20140131,57.19,20150110,53.95,20161204
55121,100 BK (SCY),M,58.37,20130118,53.92,20140227,55.64,20150117,48.78,20170211
55121,200 IM (SCY),M,124.83,20130118,116.19,20140214,118.37,20150228,110.83,20161208
55121,100 FL (SCY),M,57.91,20130118,53.48,20140227,51.22,20150213,48.48,20170210
55121,200 BK (SCY),M,123.12,20130118,117.42,20140117,114.72,20150301,115.55,20170115
57632,100 BR (SCY),F,65.98,20131109,65.99,20140306,63.59,20141120,62,20170322
57632,100 FL (SCY),F,58.85,20130228,59.89,20140306,57.69,20141120,56.21,20170324
57632,100 BR (SCY),F,63.33,20130228,65.99,20140306,63.59,20141120,65.65,20171027
57632,400 IM (SCY),F,276.99,20130228,281.53,20140207,287.51,20150116,279.37,20170127
57632,100 BR (SCY),F,65.98,20131109,63.23,20141115,63.59,20141120,65.65,20171027
57632,100 BR (SCY),F,65.98,20131109,65.99,20140306,63.59,20141120,65.65,20171027
57632,100 BR (SCY),F,65.98,20131109,63.23,20141115,63.59,20141120,62,20170322
57632,100 FL (SCY),F,59.04,20131109,59.89,20140306,57.69,20141120,56.21,20170324
57632,200 BR (SCY),F,139.04,20130228,142.8,20140318,140.27,20141121,145.17,20171027
57632,200 IM (SCY),F,127.99,20130228,131.31,20140318,129.33,20150325,127.54,20170322
57632,100 BR (SCY),F,63.33,20130228,65.99,20140306,63.59,20141120,62,20170322
57632,100 BR (SCY),F,63.33,20130228,63.23,20141115,63.59,20141120,62,20170322
57632,100 BR (SCY),F,63.33,20130228,63.23,20141115,63.59,20141120,65.65,20171027
57632,200 BR (SCY),F,139.04,20130228,142.8,20140318,140.27,20141121,134.79,20170325
57632,200 IM (SCY),F,127.99,20130228,131.31,20140318,129.33,20150325,133.13,20171006
57805,200 FR (SCY),F,118.71,20150103,112.54,20151206,114.63,20170303,113.12,20180510
57805,500 FR (SCY),F,313.68,20150117,301.89,20151219,304.63,20161217,301.3,20180510
57805,50 FR (SCY),F,26.07,20150118,24.83,20160227,25.47,20161218,25.07,20180504
57805,200 FR (SCY),F,118.71,20150103,113.6,20150506,114.63,20170303,113.12,20180510
57805,50 FR (SCY),F,26.07,20150118,25.16,20150508,25.47,20161218,25.07,20180504
58599,1650 FR (SCY),M,1053.57,20130307,1020.55,20140320,989.84,20150329,951.33,20170219
58599,500 FR (SCY),M,300.77,20130307,291.44,20140228,285.19,20150328,271.56,20170217
58599,1000 FR (SCY),M,632.28,20130307,605.32,20140320,595.1,20150326,589.3,20170201
58599,200 FR (SCY),M,113.39,20130307,108.74,20140228,104.12,20150327,98.53,20170316
58599,100 FR (SCY),M,52.97,20130307,51.28,20140301,48.67,20141214,45.54,20161202
58940,200 FR (SCY),F,121.63,20131109,115.97,20141205,115.98,20151204,114.1,20170324
58940,500 FR (SCY),F,319.39,20130215,319.6,20141206,304.35,20150326,318.39,20170113
58940,50 FR (SCY),F,26.07,20130301,25.17,20140326,25.06,20150228,24.34,20170321
58940,50 FR (SCY),F,26.07,20130301,25.49,20141108,25.06,20150228,24.34,20170321
58940,200 FR (SCY),F,121.63,20131109,120.35,20140117,117.05,20150327,117.17,20171111
58940,200 BK (SCY),F,137.65,20131109,126.29,20141207,128.19,20151206,124.27,20170323
58940,200 FR (SCY),F,117.56,20130301,115.97,20141205,117.05,20150327,114.1,20170324
58940,100 FR (SCY),F,54.93,20131213,54.43,20141205,53.59,20151206,53.27,20170325
58940,200 FR (SCY),F,121.63,20131109,115.97,20141205,117.05,20150327,117.17,20171111
58940,400 FR (LCM),F,287.98,20130419,278.67,20140729,284.41,20150326,280.98,20170623
58940,400 IM (SCY),F,281.73,20131213,282.65,20140117,274.51,20150227,276.43,20171202
58940,100 FR (LCM),F,63.24,20130730,61.75,20140801,62.56,20151206,60.56,20170802
58940,200 IM (SCY),F,137.05,20130301,131.89,20141207,130.69,20151206,125.69,20170322
58940,400 IM (LCM),F,325.9,20130724,319.99,20140710,322.17,20150718,318.49,20170714
58940,200 IM (SCY),F,137.05,20130301,133.45,20140215,129.77,20150325,125.69,20170322
58940,200 IM (SCY),F,135.81,20131213,131.89,20141207,130.69,20151206,129.75,20171201
58940,200 IM (SCY),F,137.05,20130301,131.89,20141207,130.69,20151206,129.75,20171201
58940,500 FR (SCY),F,318.68,20131109,319.6,20141206,319.66,20151205,318.39,20170113
58940,500 FR (SCY),F,318.68,20131109,319.6,20141206,304.35,20150326,318.39,20170113
58940,50 FR (SCY),F,26.3,20131213,25.17,20140326,25.06,20150228,24.34,20170321
58940,400 IM (SCY),F,281.73,20131213,282.65,20140117,272.17,20151204,270.43,20170324
58940,400 IM (SCY),F,285.84,20130301,282.65,20140117,272.17,20151204,276.43,20171202
58940,200 IM (SCY),F,137.05,20130301,133.45,20140215,130.69,20151206,129.75,20171201
58940,200 FR (SCY),F,117.56,20130301,120.35,20140117,117.05,20150327,114.1,20170324
58940,400 IM (SCY),F,281.73,20131213,275.69,20141205,274.51,20150227,270.43,20170324
58940,200 IM (SCY),F,135.81,20131213,133.45,20140215,130.69,20151206,129.75,20171201
58940,100 FR (SCY),F,54.93,20131213,54.95,20140228,53.59,20151206,53.27,20170325
58940,200 IM (SCY),F,135.81,20131213,131.89,20141207,129.77,20150325,129.75,20171201
58940,200 FR (SCY),F,121.63,20131109,120.35,20140117,117.05,20150327,114.1,20170324
58940,200 IM (SCY),F,137.05,20130301,133.45,20140215,130.69,20151206,125.69,20170322
58940,100 FR (SCY),F,56.19,20130301,54.95,20140228,53.59,20151206,53.27,20170325
58940,400 IM (SCY),F,285.84,20130301,275.69,20141205,274.51,20150227,270.43,20170324
58940,200 FR (SCY),F,117.56,20130301,120.35,20140117,115.98,20151204,114.1,20170324
58940,500 FR (SCY),F,319.39,20130215,319.6,20141206,319.66,20151205,318.39,20170113
58940,400 IM (SCY),F,281.73,20131213,282.65,20140117,274.51,20150227,270.43,20170324
58940,50 FR (SCY),F,26.3,20131213,25.49,20141108,25.06,20150228,24.34,20170321
58940,200 FR (SCY),F,117.56,20130301,115.97,20141205,115.98,20151204,114.1,20170324
58940,200 IM (SCY),F,137.05,20130301,131.89,20141207,129.77,20150325,125.69,20170322
58940,400 IM (SCY),F,285.84,20130301,282.65,20140117,274.51,20150227,276.43,20171202
58940,200 BK (SCY),F,137.65,20131109,126.29,20141207,125.98,20150326,124.27,20170323
58940,100 FR (SCY),F,56.19,20130301,54.95,20140228,53.59,20151206,53.46,20171203
58940,200 IM (SCY),F,135.81,20131213,131.89,20141207,129.77,20150325,125.69,20170322
58940,200 FR (SCY),F,117.56,20130301,120.35,20140117,115.98,20151204,117.17,20171111
58940,200 IM (SCY),F,135.81,20131213,133.45,20140215,129.77,20150325,125.69,20170322
58940,500 FR (SCY),F,318.68,20131109,309.35,20140228,304.35,20150326,318.39,20170113
58940,50 FR (LCM),F,29.33,20130730,29.84,20140628,28.34,20150717,28.97,20170715
58940,200 FR (SCY),F,117.56,20130301,120.35,20140117,117.05,20150327,117.17,20171111
58940,200 FR (LCM),F,133.73,20130724,134.19,20140729,134.75,20151204,133.23,20170624
58940,50 FR (SCY),F,26.3,20131213,25.49,20141108,25.06,20150228,24.84,20171201
58940,400 IM (SCY),F,285.84,20130301,282.65,20140117,274.51,20150227,270.43,20170324
58940,200 FR (SCY),F,121.63,20131109,115.97,20141205,117.05,20150327,114.1,20170324
58940,200 FR (LCM),F,133.73,20130724,134.19,20140729,133.42,20150718,133.23,20170624
58940,400 IM (SCY),F,285.84,20130301,275.69,20141205,274.51,20150227,276.43,20171202
